AddressID,property_name,Address,Zipcode,Long,Lat
125 East 105th Street10029,ChurchofStCeciliaReport,125 East 105th Street,10029,-73.947326,40.7919189
69-71 Grand Avenue11378,69thLaneStudio,69-71 Grand Avenue,11378,-73.893311,40.7274352
312 Fillmore St10301,UnitarianChurchofStatenIsland,312 Fillmore St,10301,-74.0986983,40.6429808
421 Doughty Blvd11096,SSolowayandSonsPIPPrinting,421 Doughty Blvd,11096,-73.7469957,40.6226744
40-20 47th Avenue11104,SunnysideJewishCenterReport,40-20 47th Avenue,11104,-73.923901,40.741461
361 6th Ave10014,MoonbluIncdbaJoyBurgerBar,361 6th Ave,10014,-74.000832,40.732327
2075 East 68th Street11234,TempleSholom,2075 East 68th Street,11234,-73.9096263,40.6188665
2075 East 68th Street11234,TempleSholom_(1),2075 East 68th Street,11234,-73.9096263,40.6188665
1625 Ocean Avenue11230,EastMidwoodJewishCenter,1625 Ocean Avenue,11230,-73.9553737,40.6223507
84 Rogers Avenue11553,UnitedChurchofGod,84 Rogers Avenue,11553,-73.953147,40.67385
584 Bloomindale Road10309,RossvilleAMEZionChurch,584 Bloomindale Road,10309,-74.218268,40.539434
203 Nostrand Ave11205,PentecostalHouseofPrayer,203 Nostrand Ave,11205,-73.951669,40.69221
51-53 Van Duzer Street10301,BethelCommunityChurch,51-53 Van Duzer Street,10301,-74.077492,40.6369886
595 Quincy Street11221,RefugeChurchofGod,595 Quincy Street,11221,-73.9353011,40.6889701
20 Simmons Street11726,BethelAMEChurch,20 Simmons Street,11726,-73.405297,40.69052
24 Simmons Street11726,BethelAMEChurchHouse,24 Simmons Street,11726,-73.4050481,40.6910751
109-14 Farmers Blvd11412,GospelAssembly,109-14 Farmers Blvd,11412,-73.766955,40.7035539
15-43 149th Street11357,FirstPresbyterianChurchofWhitestone,15-43 149th Street,11357,-73.8159779,40.7859159
163 East 111th10029,FirstSpanishMethodistChurch,163 East 111th,10029,-73.9435705,40.7954688
145-01 Farmers Blvd11434,SpringfieldGardensChurchoftheNazarene_-_Church,145-01 Farmers Blvd,11434,-73.7670999,40.6661182
145-07 Farmers Blvd11434,SpringfieldGardensChurchoftheNazarene_-_Parsonage,145-07 Farmers Blvd,11434,-73.7671221,40.666011
154 Sterling Street11225,GraceandMercyChristianNationalChurch,154 Sterling Street,11225,-73.955813,40.662573
111-17 Sutphin Blvd.11435,ChurchofGodMissionInternational,111-17 Sutphin Blvd.,11435,-73.7952443,40.6881634
90-12 160th Street11432,BethanyFrenchBaptistChurch,90-12 160th Street,11432,-73.7998407,40.7048201
19-20 Mott Avenue Suite 411691,RockawayYouthTaskForce,19-20 Mott Avenue Suite 4,11691,-73.7542593,40.604673
316 Saratoga Avenue11233,ReshapingLivesMinistries,316 Saratoga Avenue,11233,-73.9169372,40.6747591
2135-37 Third Ave10035,ChurchofGodofThirdAvenue,2135-37 Third Ave,10035,-73.9394039,40.7983018
215-31 99th Street11429,FirstRevelationChurch,215-31 99th Street,11429,-73.742982,40.714861
40 Washington St.11550,UnitedMethodistChurchofHempstead-Church,40 Washington St.,11550,-73.6203357,40.7077325
112 Long Drive11550,UnitedMethodistChurchofHempstead-Parsonage,112 Long Drive,11550,-73.636596,40.701459
40 Washington St.11550,UnitedMethodistChurchofHempstead-ParishHall,40 Washington St.,11550,-73.6203357,40.7077325
422 Dean Street11217,Immanual-FirstSpanishUMC-Parsonage,422 Dean Street,11217,-73.9773017,40.6822255
424 Dean Street11217,Immanuel-FirstSpanishUMC-Church,424 Dean Street,11217,-73.9772095,40.6821432
590 New Lots Ave11207,PilgrimCathedralofEastNewYork,590 New Lots Ave,11207,-73.8869517,40.6642448
1746 Broadway11207,WaysideBaptistChurch,1746 Broadway,11207,-73.9107046,40.6828091
1726 Broadway11207,WaysideBaptistChurch-ManorBuilding,1726 Broadway,11207,-73.9111129,40.6832655
211 South 4th Street11211,ElPuente,211 South 4th Street,11211,-73.9596247,40.7109366
