index,energy,age,number_stories,square_feet,plei_1,plei_3,plug_load_consumption,ac_consumption,domestic_gas,heating_gas,Long,Lat
0,117870.0,63.0,4.0,14600.0,1.0,2.0,11.65140596,0.983531348,0.096226455,0.366193236,-73.947326,40.7919189
2,15564.0,98.0,2.0,6000.0,2.0,1.0,2.345049272,0.296133819,0.032705972,0.036460695,-74.0986983,40.6429808
3,25851.0,53.0,1.0,5000.0,6.0,1.0,4.618817159,0.765188561,0.02750427,0.23466382,-73.7469957,40.6226744
4,32343.0,88.0,3.0,4196.0,1.0,1.0,9.323896186,1.23432624,0.322599638,0.57959223,-73.923901,40.741461
5,106938.0,108.0,1.0,2200.0,2.0,1.0,45.17394981,8.437620188,3.813677406,0.673378309,-74.000832,40.732327
6,228985.0,54.0,2.0,26318.0,18.0,7.0,7.108796544,1.863127708,0.029156422,0.560720947,-73.9096263,40.6188665
7,228985.0,54.0,2.0,26318.0,18.0,7.0,7.108796544,1.863127708,0.029156422,0.560720947,-73.9096263,40.6188665
8,380400.0,87.0,4.0,65000.0,2.0,27.0,5.65569336,0.356230155,0.074841027,1.352528204,-73.9553737,40.6223507
9,4510.0,108.0,3.0,3024.0,2.0,1.0,9.417943048,1.768558542,0.357803094,0.210292496,-73.953147,40.67385
10,10722.0,121.0,2.0,3800.0,4.0,1.0,2.697652244,0.179331772,0.042588743,0.639048418,-74.218268,40.539434
12,6365.0,87.0,1.0,3128.0,4.0,1.0,4.084495193,1.027600769,0.048815539,0.636409562,-74.077492,40.6369886
13,15130.0,87.0,1.0,5700.0,1.0,2.0,4.533751037,0.902759537,0.032833511,0.719650745,-73.9353011,40.6889701
14,51172.0,58.0,2.0,15000.0,2.0,1.0,3.544474854,0.216975049,0.017726724,0.007526078,-73.405297,40.69052
16,21583.0,87.0,2.0,2200.0,1.0,1.0,9.20209303,1.398907677,0.101437594,0.621744224,-73.766955,40.7035539
17,14232.0,148.0,2.0,6022.0,2.0,7.0,3.178672445,0.481868754,0.066364847,0.057102961,-73.8159779,40.7859159
18,18774.0,53.0,2.0,10300.0,1.0,1.0,1.91273045,0.175044543,0.17700395,0.156157661,-73.9435705,40.7954688
19,12663.0,84.0,2.0,2178.0,1.0,1.0,4.185433735,1.738493008,0.079863788,0.021132007,-73.7670999,40.6661182
20,12651.0,84.0,2.0,1304.0,7.0,5.0,8.443327866,1.372648498,0.254538007,0.029613568,-73.7671221,40.666011
21,7769.0,118.0,2.0,1100.0,2.0,2.0,6.870328451,1.048357339,0.322599638,0.57959223,-73.955813,40.662573
